일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.000000,0.001900,0.0000,0.000000
2,0.011,0.0000,0.002300,0.002300,0.0000,0.001540
3,0.027,0.0000,0.002700,0.002700,0.0000,0.001808
4,0.044,0.0000,0.003000,0.003000,0.0000,0.002009
5,0.061,0.0000,0.003400,0.003400,0.0000,0.002277
6,0.076,0.0000,0.003800,0.003800,0.0000,0.002545
7,0.092,0.0000,0.004200,0.004200,0.0000,0.002812
8,0.108,0.0000,0.004600,0.004600,0.0000,0.003080
9,0.124,0.0000,0.005000,0.005000,0.0000,0.003348
10,0.140,0.0000,0.005400,0.005400,0.0000,0.003616
11,0.156,0.0000,0.005800,0.005800,0.0000,0.003884
12,0.172,0.0000,0.006200,0.006200,0.0000,0.004152
13,0.188,0.0000,0.006600,0.006600,0.0000,0.004420
14,0.204,0.0000,0.007000,0.007000,0.0000,0.004688
15,0.220,0.0000,0.007400,0.007400,0.0000,0.004955
16,0.236,0.0000,0.007800,0.007800,0.0000,0.005223
17,0.252,0.0000,0.008200,0.008200,0.0000,0.005491
18,0.267,0.0000,0.008600,0.008600,0.0000,0.005759
19,0.284,0.0000,0.009000,0.009000,0.0000,0.006027
20,0.300,0.0000,0.009400,0.009400,0.0000,0.006295
21,0.316,0.0000,0.009800,0.009800,0.0000,0.006563
22,0.332,0.0000,0.010200,0.010200,0.0000,0.006830
23,0.349,0.0000,0.010600,0.010600,0.0000,0.007098
24,0.364,0.0000,0.011000,0.011000,0.0000,0.007366
25,0.380,0.0000,0.011400,0.011400,0.0000,0.007634
26,0.397,0.0000,0.011800,0.011800,0.0000,0.007902
27,0.413,0.0000,0.012200,0.012200,0.0000,0.008170
28,0.428,0.0000,0.012600,0.012600,0.0000,0.008438
29,0.445,0.0000,0.013000,0.013000,0.0000,0.008705
30,0.460,0.0000,0.013400,0.013400,0.0000,0.008973
31,0.477,0.0000,0.013800,0.013800,0.0000,0.009241
32,0.492,0.0000,0.014200,0.014200,0.0000,0.009509
33,0.509,0.0000,0.014600,0.014600,0.0000,0.009777
34,0.524,0.0000,0.015000,0.015000,0.0000,0.010045
35,0.540,0.0000,0.015400,0.015400,0.0000,0.010312
36,0.556,0.0000,0.015800,0.015800,0.0000,0.010580
37,0.573,0.0000,0.016200,0.016200,0.0000,0.010848
38,0.589,0.0000,0.016500,0.016500,0.0000,0.011049
39,0.604,0.0000,0.016900,0.016900,0.0000,0.011317
40,0.621,0.0000,0.017300,0.017300,0.0000,0.011585
41,0.636,0.0000,0.017700,0.017700,0.0000,0.011853
42,0.653,0.0000,0.018100,0.018100,0.0000,0.012121
43,0.668,0.0000,0.018500,0.018500,0.0000,0.012388
44,0.685,0.0000,0.018900,0.018900,0.0000,0.012656
45,0.701,0.0000,0.019300,0.019300,0.0000,0.012924
46,0.717,0.0000,0.019700,0.019700,0.0000,0.013192
47,0.733,0.0000,0.020100,0.020100,0.0000,0.013460
48,0.749,0.0000,0.020500,0.020500,0.0000,0.013728
49,0.764,0.0000,0.020900,0.020900,0.0000,0.013996
50,0.781,0.0000,0.021300,0.021300,0.0000,0.014263
51,0.797,0.0000,0.021700,0.021700,0.0000,0.014531
52,0.813,0.0000,0.022100,0.022100,0.0000,0.014799
53,0.829,0.0000,0.022500,0.022500,0.0000,0.015067
54,0.845,0.0000,0.022900,0.022900,0.0000,0.015335
55,0.861,0.0000,0.023300,0.023300,0.0000,0.015603
56,0.877,0.0000,0.023700,0.023700,0.0000,0.015871
57,0.893,0.0000,0.024000,0.024000,0.0000,0.016071
58,0.909,0.0000,0.024400,0.024400,0.0000,0.016339
59,0.924,0.0000,0.024800,0.024800,0.0000,0.016607
60,0.941,0.0000,0.025200,0.025200,0.0000,0.016875
61,0.957,0.0000,0.025600,0.025600,0.0000,0.017143
62,0.972,0.0000,0.026000,0.026000,0.0000,0.017411
63,0.989,0.0000,0.026400,0.026400,0.0000,0.017679
64,1.005,0.0000,0.026800,0.026800,0.0000,0.017946
65,1.021,0.0000,0.027200,0.027200,0.0000,0.018214
66,1.037,0.0000,0.027600,0.027600,0.0000,0.018482
67,1.053,0.0000,0.028000,0.028000,0.0000,0.018750
68,1.069,0.0000,0.028400,0.028400,0.0000,0.019018
69,1.085,0.0000,0.028800,0.028800,0.0000,0.019286
70,1.101,0.0000,0.029200,0.029200,0.0000,0.019554
71,1.117,0.0000,0.029600,0.029600,0.0000,0.019821
72,1.133,0.0000,0.030000,0.030000,0.0000,0.020089
73,1.149,0.0000,0.030400,0.030400,0.0000,0.020357
74,1.165,0.0000,0.030800,0.030800,0.0000,0.020625
75,1.182,0.0000,0.031200,0.031200,0.0000,0.020893
76,1.197,0.0000,0.031600,0.031600,0.0000,0.021161
77,1.213,0.0000,0.032000,0.032000,0.0000,0.021429
78,1.231,0.0000,0.032300,0.032300,0.0000,0.021629
79,1.246,0.0000,0.032800,0.032800,0.0000,0.021964
80,1.261,0.0000,0.033200,0.033200,0.0000,0.022232
81,1.277,0.0000,0.033600,0.033600,0.0000,0.022500
82,1.294,0.0000,0.034000,0.034000,0.0000,0.022768
83,1.309,0.0000,0.034400,0.034400,0.0000,0.023036
84,1.325,0.0000,0.034800,0.034800,0.0000,0.023304
85,1.341,0.0000,0.035200,0.035200,0.0000,0.023571
86,1.357,0.0000,0.035600,0.035600,0.0000,0.023839
87,1.374,0.0000,0.036000,0.036000,0.0000,0.024107
88,1.389,0.0000,0.036300,0.036300,0.0000,0.024308
89,1.406,0.0000,0.036700,0.036700,0.0000,0.024576
90,1.421,0.0000,0.037100,0.037100,0.0000,0.024844
91,1.438,0.0000,0.037500,0.037500,0.0000,0.025112
92,1.453,0.0000,0.037900,0.037900,0.0000,0.025379
93,1.469,0.0000,0.038300,0.038300,0.0000,0.025647
94,1.485,0.0000,0.038700,0.038700,0.0000,0.025915
95,1.502,0.0000,0.039100,0.039100,0.0000,0.026183
96,1.518,0.0000,0.039500,0.039500,0.0000,0.026451
97,1.533,0.0000,0.039900,0.039900,0.0000,0.026719
98,1.550,0.0000,0.040300,0.040300,0.0000,0.026987
99,1.565,0.0000,0.040700,0.040700,0.0000,0.027254
100,1.582,0.0000,0.041100,0.041100,0.0000,0.027522
101,1.598,0.0000,0.041500,0.041500,0.0000,0.027790
102,1.614,0.0000,0.041900,0.041900,0.0000,0.028058
103,1.631,0.0000,0.042300,0.042300,0.0000,0.028326
104,1.646,0.0000,0.042700,0.042700,0.0000,0.028594
105,1.661,0.0000,0.043100,0.043100,0.0000,0.028862
106,1.677,0.0000,0.043500,0.043500,0.0000,0.029129
107,1.694,0.0000,0.043900,0.043900,0.0000,0.029397
108,1.709,0.0000,0.044300,0.044300,0.0000,0.029665
109,1.726,0.0000,0.044700,0.044700,0.0000,0.029933
110,1.743,0.0000,0.045100,0.045100,0.0000,0.030201
111,1.757,0.0000,0.045400,0.045400,0.0000,0.030402
112,1.774,0.0000,0.045800,0.045800,0.0000,0.030670
113,1.790,0.0000,0.046200,0.046200,0.0000,0.030937
114,1.805,0.0000,0.046600,0.046600,0.0000,0.031205
115,1.822,0.0000,0.047000,0.047000,0.0000,0.031473
116,1.838,0.0000,0.047400,0.047400,0.0000,0.031741
117,1.854,0.0000,0.047800,0.047800,0.0000,0.032009
118,1.870,0.0000,0.048200,0.048200,0.0000,0.032277
119,1.886,0.0000,0.048600,0.048600,0.0000,0.032545
120,1.902,0.0000,0.049000,0.049000,0.0000,0.032812
121,1.918,0.0000,0.049400,0.049400,0.0000,0.033080
122,1.934,0.0000,0.049800,0.049800,0.0000,0.033348
123,1.950,0.0000,0.050200,0.050200,0.0000,0.033616
124,1.967,0.0000,0.050600,0.050600,0.0000,0.033884
125,1.982,0.0000,0.051000,0.051000,0.0000,0.034152
126,1.997,0.0000,0.051400,0.051400,0.0000,0.034420
127,2.014,0.0000,0.051800,0.051800,0.0000,0.034688
128,2.030,0.0000,0.052200,0.052200,0.0000,0.034955
129,2.046,0.0000,0.052600,0.052600,0.0000,0.035223
130,2.063,0.0000,0.053000,0.053000,0.0000,0.035491
131,2.080,0.0000,0.053400,0.053400,0.0000,0.035759
132,2.095,0.0000,0.053800,0.053800,0.0000,0.036027
133,2.110,0.0000,0.054200,0.054200,0.0000,0.036295
134,2.126,0.0000,0.054600,0.054600,0.0000,0.036563
135,2.142,0.0000,0.055000,0.055000,0.0000,0.036830
136,2.158,0.0000,0.055400,0.055400,0.0000,0.037098
137,2.175,0.0000,0.055800,0.055800,0.0000,0.037366
138,2.191,0.0000,0.056200,0.056200,0.0000,0.037634
139,2.206,0.0000,0.056600,0.056600,0.0000,0.037902
140,2.222,0.0000,0.057000,0.057000,0.0000,0.038170
141,2.238,0.0000,0.057400,0.057400,0.0000,0.038437
142,2.254,0.0000,0.057800,0.057800,0.0000,0.038705
143,2.270,0.0000,0.058100,0.058100,0.0000,0.038906
144,2.287,0.0000,0.058500,0.058500,0.0000,0.039174
145,2.303,0.0000,0.058900,0.058900,0.0000,0.039442
146,2.319,0.0000,0.059300,0.059300,0.0000,0.039710
147,2.335,0.0000,0.059700,0.059700,0.0000,0.039978
148,2.350,0.0000,0.060100,0.060100,0.0000,0.040246
149,2.367,0.0000,0.060500,0.060500,0.0000,0.040513
150,2.382,0.0000,0.060900,0.060900,0.0000,0.040781
151,2.400,0.0000,0.061300,0.061300,0.0000,0.041049
152,2.415,0.0000,0.061700,0.061700,0.0000,0.041317
153,2.430,0.0000,0.062100,0.062100,0.0000,0.041585
154,2.446,0.0000,0.062500,0.062500,0.0000,0.041853
155,2.463,0.0000,0.062900,0.062900,0.0000,0.042121
156,2.480,0.0000,0.063300,0.063300,0.0000,0.042388
157,2.494,0.0000,0.063700,0.063700,0.0000,0.042656
